acc,start,end,label
A0A0G2JXC5,1,84,structured
A0A0G2JXC5,85,217,disordered
A0A0G2JXC5,218,229,structured
A0A0G2JXC5,230,261,disordered
A0A0G2JXC5,262,1038,structured
A0A0H2ZP82,1,39,structured
A0A0H2ZP82,40,50,disordered
A0A0H2ZP82,51,853,structured
A0A0H3CFC9,1,22,disordered
A0A0H3CFC9,23,61,structured
A0A0H3GD84,1,24,structured
A0A0H3GD84,25,38,disordered
A0A0H3GD84,39,529,structured
A0A0H3MCR9,1,13,disordered
A0A0H3MCR9,14,183,structured
A0A0M4HM24,1,212,disordered
A0A109NYM0,1,10,disordered
A0A109NYM0,11,235,structured
A0A140GKJ0,1,55,structured
A0A140GKJ0,56,88,disordered
A0A142G2L5,1,20,structured
A0A142G2L5,21,181,disordered
A0A175WC91,1,117,structured
A0A175WC91,118,133,disordered
A0A175WC91,134,243,structured
A0A178W0D3,1,220,structured
A0A178W0D3,221,259,disordered
A0A1B0GTR3,1,108,disordered
A0A220GHA5,1,22,disordered
A0A220GHA5,23,140,structured
A0A2V2WGW5,1,4,structured
A0A2V2WGW5,5,23,disordered
A0A2V2WGW5,24,170,structured
A0A2Z5UJ33,1,7,structured
A0A2Z5UJ33,8,21,disordered
A0A2Z5UJ33,22,72,structured
A0A2Z5UJ33,73,91,disordered
A0A2Z5UJ33,92,202,structured
A0A2Z5UJ33,203,212,disordered
A0A2Z5UJ33,213,498,structured
A0A384E149,1,413,structured
A0A384E149,414,439,disordered
A0A396GSL0,1,32,structured
A0A396GSL0,33,55,disordered
A0A396GSL0,56,68,structured
A0A3S5Y0Q5,1,26,structured
A0A3S5Y0Q5,27,66,disordered
A0A3S5Y0Q5,67,172,structured
A0A504WW14,1,1259,disordered
A0A504WW14,1260,1347,structured
A0A504XZ90,1,29,disordered
A0A504XZ90,30,183,structured
A0A504XZ90,184,237,disordered
A0A504XZ90,238,301,structured
A0A504Y5E1,1,273,structured
A0A504Y5E1,274,285,disordered
A0A5F9ZHA1,1,661,structured
A0A5F9ZHA1,662,672,disordered
A0A5F9ZHA1,673,795,structured
A0A5F9ZHA1,796,852,disordered
A0A5F9ZHA1,853,1058,structured
A0A5F9ZHA1,1059,1068,disordered
A0A5F9ZHA1,1069,1188,structured
A0A5F9ZHA1,1189,1201,disordered
A0A5F9ZHA1,1202,1402,structured
A0A5F9ZHA1,1403,1430,disordered
A0A5F9ZHA1,1431,1849,structured
A0A6L0XH39,1,267,structured
A0A6L0XH39,268,284,disordered
A0A6L0XH39,285,303,structured
A0A6L0XH39,304,323,disordered
A0A6L0XH39,324,360,structured
A0A6L0XH39,361,373,disordered
A0KJC7,1,230,disordered
A0KJC7,231,478,structured
A0L5S6,1,221,structured
A0L5S6,222,239,disordered
A0L5S6,240,274,structured
A0MHA3,1,35,structured
A0MHA3,36,64,disordered
A0MHA3,65,71,structured
A0R1T8,1,238,disordered
A0R1T8,239,294,structured
A0ZWU1,1,157,structured
A0ZWU1,158,251,disordered
A1B602,1,19,disordered
A1B602,20,79,structured
A1B602,80,104,disordered
A1B8N7,1,115,structured
A1B8N7,116,188,disordered
A1KVD0,1,13,disordered
A1KVD0,14,155,structured
A4C1A5,1,86,disordered
A4C1A5,87,150,structured
A4D126,1,318,structured
A4D126,319,334,disordered
A4D126,335,451,structured
A4HN55,1,29,disordered
A4HN55,30,254,structured
A4HSQ5,1,33,disordered
A4HSQ5,34,247,structured
A4HV47,1,54,disordered
A4HV47,55,283,structured
A4IDD0,1,241,structured
A4IDD0,242,264,disordered
A4IDD6,1,99,disordered
A4IDD6,100,302,structured
A4IDS4,1,211,structured
A4IDS4,212,246,disordered
A4ZNR2,1,121,disordered
A5F384,1,100,structured
A5F384,101,110,disordered
A5F384,111,276,structured
A6ND01,1,110,structured
A6ND01,111,122,disordered
A6ND01,123,250,structured
A6NF83,1,97,disordered
A6NI73,1,146,structured
A6NI73,147,157,disordered
A6NI73,158,299,structured
A6YID9,1,38,disordered
A6YID9,39,136,structured
A7KHA7,1,23,structured
A7KHA7,24,50,disordered
A7KHA7,51,61,structured
A7L035,1,21,structured
A7L035,22,47,disordered
A7L035,48,456,structured
A7UMX5,1,996,disordered
A7YK37,1,227,disordered
A7YK37,228,541,structured
A7ZUK2,1,930,structured
A7ZUK2,931,1134,disordered
A7ZUK2,1135,1407,structured
A8AZZ3,1,23,structured
A8AZZ3,24,44,disordered
A8AZZ3,45,115,structured
A8AZZ3,116,134,disordered
A8AZZ3,135,145,structured
A8AZZ3,146,195,disordered
A8BB85,1,134,structured
A8BB85,135,160,disordered
A8BB85,161,316,structured
A8CDV5,1,118,disordered
A8MTZ0,1,25,disordered
A8MTZ0,26,80,structured
A8MTZ0,81,92,disordered
A8ULG6,1,161,structured
A8ULG6,162,175,disordered
A8ULG6,176,322,structured
B0FRH7,1,120,disordered
B0Y813,1,118,structured
B0Y813,119,142,disordered
B0Y813,143,240,structured
B2LME8,1,31,structured
B2LME8,32,155,disordered
B2LME8,156,400,structured
B2RLE7,1,22,structured
B2RLE7,23,54,disordered
B2RLE7,55,265,structured
B2RLE7,266,359,disordered
B5TV91,1,117,structured
B5TV91,118,134,disordered
B5TV91,135,185,structured
B5TV91,186,226,disordered
B5TV91,227,292,structured
B6KJB6,1,336,structured
B6KJB6,337,542,disordered
B7T1D7,1,126,structured
B7T1D7,127,137,disordered
B7T1D7,138,215,structured
B7T1D7,216,250,disordered
B7T1D7,251,285,structured
B8YB65,1,104,disordered
B8ZXI1,1,291,structured
B8ZXI1,292,326,disordered
B8ZXI1,327,415,structured
B9KDD4,1,280,structured
B9KDD4,281,327,disordered
B9KDD4,328,712,structured
C0J347,1,263,structured
C0J347,264,464,disordered
C4M0U8,1,150,disordered
C4M0U8,151,151,structured
C4PB33,1,360,structured
C4PB33,361,395,disordered
C4PB33,396,1772,structured
C6KSX0,1,83,structured
C6KSX0,84,116,disordered
C6KSX0,117,142,structured
C6KSX0,143,157,disordered
C6KSX0,158,347,structured
C6ZFX3,1,94,disordered
C8CGS7,1,1629,structured
C8CGS7,1630,1756,disordered
C9ZXG5,1,41,structured
C9ZXG5,42,104,disordered
C9ZXG5,105,212,structured
D0AB09,1,10,disordered
D0AB09,11,421,structured
D0NBE6,1,369,structured
D0NBE6,370,381,disordered
D0PV95,1,168,disordered
D0PV95,169,708,structured
D1A4G7,1,199,structured
D1A4G7,200,413,disordered
D1A4G7,414,1315,structured
D1M863,1,25,disordered
D1M863,26,145,structured
D3TI84,1,186,structured
D3TI84,187,244,disordered
D3TI84,245,491,structured
D3TI84,492,503,disordered
D3TI84,504,662,structured
D3TI84,663,690,disordered
D3TI84,691,794,structured
D3TI84,795,933,disordered
E1BSW7,1,1,structured
E1BSW7,2,139,disordered
E3T1W8,1,21,structured
E3T1W8,22,39,disordered
E3T1W8,40,291,structured
E3T1W8,292,319,disordered
E3T1W8,320,531,structured
E3T1W8,532,541,disordered
E6PBU3,1,22,disordered
E6PBU3,23,115,structured
E6PBU3,116,143,disordered
E6Y5X0,1,231,structured
E6Y5X0,232,321,disordered
E6Y5X0,322,840,structured
E9AD06,1,66,disordered
E9AD06,67,150,structured
E9ADE1,1,100,structured
E9ADE1,101,121,disordered
E9ADE1,122,214,structured
E9AE57,1,21,disordered
E9AE57,22,568,structured
F0TTD6,1,158,structured
F0TTD6,159,252,disordered
F1NGB1,1,189,structured
F1NGB1,190,455,disordered
F1QCV2,1,364,structured
F1QCV2,365,411,disordered
F1QCV2,412,675,structured
F1QR43,1,50,structured
F1QR43,51,72,disordered
F1QR43,73,586,structured
F2WK69,1,87,structured
F2WK69,88,164,disordered
F2WK69,165,377,structured
F4IED2,1,160,structured
F4IED2,161,498,disordered
F4IED2,499,528,structured
F4JL28,1,194,structured
F4JL28,195,208,disordered
F4JL28,209,220,structured
F4JL28,221,234,disordered
F4K4L7,1,181,structured
F4K4L7,182,191,disordered
F4K4L7,192,852,structured
F6IAY2,1,176,structured
F6IAY2,177,346,disordered
F8UU09,1,82,disordered
F8UU09,83,469,structured
F9UST4,1,125,structured
F9UST4,126,147,disordered
F9UST4,148,276,structured
G0SCY6,1,25,disordered
G0SCY6,26,42,structured
G0SCY6,43,56,disordered
G0SCY6,57,126,structured
G1K3N3,1,44,disordered
G1K3N3,45,108,structured
G1TDB3,1,39,disordered
G1TDB3,40,114,structured
G1TDB3,115,124,disordered
G3V7P1,1,180,structured
G3V7P1,181,251,disordered
G3V7P1,252,274,structured
G4NEJ8,1,38,disordered
G4NEJ8,39,116,structured
G4NEJ8,117,158,disordered
G4NEJ8,159,162,structured
G5ED39,1,10,disordered
G5ED39,11,390,structured
G5ED39,391,446,disordered
G5ED39,447,589,structured
G5ED39,590,628,disordered
G5ED39,629,1140,structured
G5ED39,1141,1262,disordered
G5EFZ1,1,19,disordered
G5EFZ1,20,519,structured
G5EFZ1,520,539,disordered
G8HXD9,1,56,disordered
H0W0T5,1,362,structured
H0W0T5,363,565,disordered
H2L2M0,1,90,structured
H2L2M0,91,117,disordered
I1JLC8,1,105,disordered
I7MK25,1,17,disordered
I7MK25,18,193,structured
J2EKT7,1,53,structured
J2EKT7,54,82,disordered
J7JU64,1,28,structured
J7JU64,29,68,disordered
J7M799,1,237,disordered
J7QA90,1,43,structured
J7QA90,44,88,disordered
J7QLC0,1,1005,structured
J7QLC0,1006,1706,disordered
J8TM36,1,235,structured
J8TM36,236,249,disordered
J8TM36,250,277,structured
J9ULM6,1,17,disordered
J9ULM6,18,210,structured
J9V8B5,1,43,structured
J9V8B5,44,97,disordered
M1GUG5,1,86,disordered
M4GGR4,1,14,disordered
M4GGR4,15,355,structured
N1NXA6,1,63,structured
N1NXA6,64,99,disordered
O00189,1,159,structured
O00189,160,184,disordered
O00189,185,383,structured
O00189,384,399,disordered
O00189,400,453,structured
O00214,1,153,structured
O00214,154,175,disordered
O00214,176,317,structured
O00268,1,407,structured
O00268,408,838,disordered
O00268,839,919,structured
O00268,920,945,disordered
O00268,946,1085,structured
O00273,1,100,disordered
O00273,101,331,structured
O00308,1,661,structured
O00308,662,702,disordered
O00308,703,870,structured
O00410,1,21,disordered
O00410,22,315,structured
O00410,316,329,disordered
O00410,330,1097,structured
O00488,1,35,disordered
O00488,36,77,structured
O00488,78,116,disordered
O00488,117,134,structured
O00522,1,117,structured
O00522,118,128,disordered
O00522,129,168,structured
O00522,169,198,disordered
O00522,199,736,structured
O00548,1,442,structured
O00548,443,551,disordered
O00548,552,723,structured
O00584,1,214,structured
O00584,215,234,disordered
O00584,235,256,structured
O00585,1,93,structured
O00585,94,134,disordered
O01479,1,195,structured
O01479,196,221,disordered
O01479,222,392,structured
O04147,1,102,structured
O04147,103,113,disordered
O04147,114,181,structured
O05574,1,49,structured
O05574,50,110,disordered
O06522,1,17,structured
O06522,18,56,disordered
O06522,57,223,structured
O08583,1,76,structured
O08583,77,104,disordered
O08583,105,255,structured
O08785,1,88,structured
O08785,89,107,disordered
O08785,108,222,structured
O08785,223,248,disordered
O08785,249,257,structured
O08785,258,269,disordered
O08785,270,855,structured
O08807,1,243,structured
O08807,244,274,disordered
O13828,1,239,structured
O13828,240,291,disordered
O13828,292,552,structured
O13828,553,741,disordered
O13916,1,24,structured
O13916,25,80,disordered
O14140,1,54,disordered
O14140,55,71,structured
O14214,1,83,disordered
O14214,84,270,structured
O14214,271,304,disordered
O14352,1,11,disordered
O14352,12,71,structured
O14352,72,91,disordered
O14352,92,121,structured
O14519,1,60,disordered
O14519,61,115,structured
O14558,1,56,disordered
O14558,57,160,structured
O14678,1,1,structured
O14678,2,12,disordered
O14678,13,356,structured
O14678,357,383,disordered
O14678,384,606,structured
O14713,1,48,structured
O14713,49,59,disordered
O14713,60,200,structured
O14727,1,104,disordered
O14727,105,1248,structured
O14733,1,29,structured
O14733,30,100,disordered
O14733,101,419,structured
O14745,1,241,structured
O14745,242,358,disordered
O14775,1,56,disordered
O14775,57,395,structured
O14776,1,97,structured
O14776,98,108,disordered
O14776,109,1098,structured
O14810,1,70,structured
O14810,71,134,disordered
O14832,1,30,structured
O14832,31,42,disordered
O14832,43,222,structured
O14832,223,233,disordered
O14832,234,302,structured
O14832,303,318,disordered
O14832,319,338,structured
O14936,1,303,structured
O14936,304,460,disordered
O14936,461,926,structured
O14958,1,370,structured
O14958,371,399,disordered
O14974,1,40,disordered
O14974,41,1030,structured
O15054,1,1133,structured
O15054,1134,1176,disordered
O15054,1177,1291,structured
O15054,1292,1325,disordered
O15054,1326,1643,structured
O15118,1,287,structured
O15118,288,333,disordered
O15118,334,373,structured
O15118,374,383,disordered
O15118,384,604,structured
O15118,605,620,disordered
O15118,621,772,structured
O15118,773,813,disordered
O15118,814,959,structured
O15118,960,983,disordered
O15118,984,1251,structured
O15118,1252,1278,disordered
O15151,1,13,structured
O15151,14,25,disordered
O15151,26,106,structured
O15151,107,116,disordered
O15151,117,180,structured
O15151,181,300,disordered
O15151,301,394,structured
O15151,395,404,disordered
O15151,405,426,structured
O15151,427,429,disordered
O15151,430,490,structured
O15234,1,136,structured
O15234,137,286,disordered
O15234,287,703,structured
O15273,1,90,structured
O15273,91,167,disordered
O15294,1,88,disordered
O15294,89,756,structured
O15294,757,771,disordered
O15294,772,1046,structured
O15344,1,86,structured
O15344,87,116,disordered
O15344,117,667,structured
O15350,1,9,structured
O15350,10,25,disordered
O15350,26,348,structured
O15350,349,398,disordered
O15350,399,548,structured
O15350,549,564,disordered
O15350,565,636,structured
O15392,1,99,disordered
O15392,100,139,structured
O15392,140,142,disordered
O15550,1,879,structured
O15550,880,885,disordered
O15550,886,902,structured
O15550,903,909,disordered
O15550,910,1047,structured
O15550,1048,1077,disordered
O15550,1078,1395,structured
O15550,1396,1401,disordered
O15922,1,89,disordered
O15922,90,229,structured
O15922,230,240,disordered
O15922,241,314,structured
O15922,315,324,disordered
O15922,325,447,structured
O16043,1,183,disordered
O17087,1,812,structured
O17087,813,860,disordered
O17087,861,1113,structured
O23661,1,387,structured
O23661,388,594,disordered
O23661,595,608,structured
O23764,1,422,disordered
O23813,1,52,structured
O23813,53,62,disordered
O23813,63,635,structured
O24172,1,33,structured
O24172,34,50,disordered
O24646,1,77,disordered
O24646,78,108,structured
O24646,109,150,disordered
O24646,151,168,structured
O25010,1,73,disordered
O25555,1,95,structured
O25555,96,125,disordered
O28362,1,16,disordered
O28362,17,78,structured
O28362,79,102,disordered
O28769,1,233,disordered
O28769,234,338,structured
O30916,1,168,disordered
O30916,169,170,structured
O30916,171,181,disordered
O30916,182,561,structured
O31467,1,48,structured
O31467,49,70,disordered
O31818,1,40,structured
O31818,41,77,disordered
O31851,1,88,structured
O31851,89,125,disordered
O31851,126,196,structured
O32728,1,101,disordered
O32728,102,158,structured
O32728,159,250,disordered
O33599,1,25,structured
O33599,26,44,disordered
O33599,45,146,structured
O33599,147,182,disordered
O33599,183,316,structured
O34800,1,56,disordered
O35274,1,154,disordered
O35274,155,416,structured
O35274,417,602,disordered
O35274,603,817,structured
O35625,1,17,disordered
O35625,18,18,structured
O35625,19,59,disordered
O35625,60,78,structured
O35625,79,80,disordered
O35625,81,294,structured
O35625,295,499,disordered
O35625,500,863,structured
O35718,1,14,structured
O35718,15,225,disordered
O39946,1,60,structured
O39946,61,91,disordered
O39946,92,149,structured
O39946,150,194,disordered
O39946,195,214,structured
O43070,1,155,structured
O43070,156,158,disordered
O43070,159,191,structured
O43070,192,195,disordered
O43070,196,255,structured
O43070,256,261,disordered
O43070,262,274,structured
O43070,275,287,disordered
O43070,288,319,structured
O43070,320,553,disordered
O43070,554,613,structured
O43236,1,119,disordered
O43236,120,478,structured
O43313,1,361,structured
O43313,362,823,disordered
O43318,1,65,structured
O43318,66,80,disordered
O43318,81,177,structured
O43318,178,190,disordered
O43318,191,606,structured
O43474,1,130,disordered
O43474,131,513,structured
O43516,1,1,structured
O43516,2,101,disordered
O43516,102,406,structured
O43516,407,503,disordered
O43521,1,41,disordered
O43521,42,96,structured
O43521,97,171,disordered
O43521,172,198,structured
O43663,1,450,structured
O43663,451,620,disordered
O43715,1,53,structured
