acc,start,end,label
A0A0G2JXC5,85,217,disordered
A0A0G2JXC5,230,261,disordered
A0A0H2ZP82,40,50,disordered
A0A0H2ZP82,51,159,structured
A0A0H3CFC9,1,22,disordered
A0A0H3CFC9,23,54,structured
A0A0H3MCR9,1,13,disordered
A0A0H3MCR9,14,46,structured
A0A0H3MCR9,49,65,structured
A0A0H3MCR9,74,109,structured
A0A0H3MCR9,115,180,structured
A0A0M4HM24,1,212,disordered
A0A109NYM0,1,10,disordered
A0A109NYM0,12,195,structured
A0A140GKJ0,1,55,structured
A0A140GKJ0,56,88,disordered
A0A142G2L5,21,181,disordered
A0A175WC91,5,117,structured
A0A175WC91,118,133,disordered
A0A175WC91,134,243,structured
A0A1B0GTR3,1,108,disordered
A0A2V2WGW5,5,23,disordered
A0A2V2WGW5,24,170,structured
A0A3S5Y0Q5,27,66,disordered
A0A504WW14,1,1259,disordered
A0A504WW14,1260,1344,structured
A0A504XZ90,1,29,disordered
A0A504XZ90,30,183,structured
A0A504XZ90,184,237,disordered
A0A504XZ90,238,297,structured
A0A504Y5E1,2,273,structured
A0A504Y5E1,274,285,disordered
A0A5F9ZHA1,662,672,disordered
A0A5F9ZHA1,796,852,disordered
A0A5F9ZHA1,1059,1068,disordered
A0A5F9ZHA1,1189,1201,disordered
A0A5F9ZHA1,1403,1430,disordered
A0A6L0XH39,7,51,structured
A0A6L0XH39,71,252,structured
A0A6L0XH39,268,284,disordered
A0A6L0XH39,304,323,disordered
A0A6L0XH39,325,360,structured
A0A6L0XH39,361,373,disordered
A0KJC7,1,230,disordered
A0KJC7,232,374,structured
A0KJC7,388,474,structured
A0L5S6,1,91,structured
A0L5S6,100,129,structured
A0L5S6,131,220,structured
A0L5S6,222,239,disordered
A0MHA3,23,34,structured
A0MHA3,36,64,disordered
A0R1T8,1,238,disordered
A0R1T8,240,290,structured
A0ZWU1,158,251,disordered
A1B602,1,19,disordered
A1B602,20,33,structured
A1B602,80,104,disordered
A1KVD0,1,13,disordered
A1KVD0,14,155,structured
A4C1A5,1,86,disordered
A4D126,43,54,structured
A4D126,63,318,structured
A4D126,319,334,disordered
A4D126,335,451,structured
A4HSQ5,1,33,disordered
A4HSQ5,34,247,structured
A4IDD0,4,241,structured
A4IDD0,242,264,disordered
A4ZNR2,1,121,disordered
A5F384,4,100,structured
A5F384,101,110,disordered
A5F384,111,272,structured
A6ND01,20,109,structured
A6ND01,111,122,disordered
A6ND01,123,159,structured
A6ND01,164,228,structured
