Ep,Train loss,Dev Loss,Dev AUC,Dev error,Best AUC,Counter
0,0.3997631524495793,0.31403369466638476,0.9302696356622568,0.11360450308731151,0.9302696356622568,0
1,0.35934964132289127,0.30304104991920805,0.9321077520104002,0.11509197727053833,0.9321077520104002,0
2,0.3433720076738697,0.30317872659271516,0.9310356238461166,0.11686838528791721,0.9321077520104002,1
3,0.3283619828732954,0.31708813031844857,0.9319371068437542,0.12079574518176084,0.9321077520104002,2
4,0.31753935284305135,0.2976928350011297,0.9310204724347229,0.12036769505709122,0.9321077520104002,3
5,0.30345723304445055,0.3378750576181501,0.9333536885642657,0.12826521985724526,0.9333536885642657,0
6,0.29339261114994025,0.3225357487582964,0.9315627374730306,0.1212344965595471,0.9333536885642657,1
7,0.27536304114067217,0.32648152139118886,0.9341533913222899,0.12151272914058231,0.9341533913222899,0
8,0.26983838507319846,0.3300082627552036,0.9292578168211765,0.11942598478281807,0.9341533913222899,1
9,0.2624074253137417,0.3202504545503007,0.9305064381684744,0.12072083640994358,0.9341533913222899,2
10,0.2512208746805068,0.2977382089662707,0.9353564540240498,0.11812043190257582,0.9353564540240498,0
11,0.2485262445745968,0.3056659958818821,0.9363886330797031,0.12234742688368805,0.9363886330797031,0
12,0.23927765118946848,0.3474047458716288,0.9328459003520463,0.12852204993204708,0.9363886330797031,1
13,0.23828768202052536,0.3334325416981394,0.9350065830870259,0.11781009556219035,0.9363886330797031,2
14,0.23734333878150596,0.3277983379717666,0.930572727615373,0.11871970207711324,0.9363886330797031,3
15,0.23141487427179805,0.30949964739620417,0.9337298701828112,0.12283968452705807,0.9363886330797031,4
16,0.2303984456520509,0.30924952308460546,0.933064084303553,0.12012156623540615,0.9363886330797031,5
17,0.2210140760070621,0.36261306625149853,0.9320324324517223,0.1267028369022013,0.9363886330797031,6
18,0.22412467263824928,0.3282433456226767,0.9342722339952427,0.1188374158613974,0.9363886330797031,7
19,0.22306554653556296,0.3271385127606823,0.9328413545364728,0.12217620683382024,0.9363886330797031,8
20,0.21657121080142785,0.3353043071616201,0.9326660030156647,0.12133080783759775,0.9363886330797031,9
21,0.22266780485254953,0.31754864486799034,0.9287479732248302,0.1178421993215405,0.9363886330797031,10
