Ep,Train loss,Dev Loss,Dev AUC,Dev error,Best AUC,Counter
0,0.3933420678929371,0.3526441348552383,0.9105990795282596,0.12901604743877515,0.9105990795282596,0
1,0.3513114760903751,0.34029906107044045,0.9064993172961591,0.1231197025025964,0.9105990795282596,1
2,0.333285717753803,0.34697059511893596,0.9128885514333196,0.13847476744056197,0.9128885514333196,0
3,0.31846202474964014,0.35851382898632356,0.9097322486090289,0.13466671133594643,0.9128885514333196,1
4,0.31507478097782415,0.3362861994581724,0.9113930873260341,0.12389024757948341,0.9128885514333196,2
5,0.3046100773026838,0.33645919315213774,0.9078030960391728,0.1254425050532123,0.9128885514333196,3
6,0.29049922903342285,0.34436524528650536,0.9098891390569466,0.12746378996504626,0.9128885514333196,4
7,0.28472764095401065,0.3213880142827324,0.9121713907083895,0.12395725149921266,0.9128885514333196,5
8,0.2671138191869592,0.3593136263550324,0.914833952605496,0.1328129362234357,0.914833952605496,0
9,0.25524644694455406,0.3476041521529406,0.9128755667397346,0.13507990217427723,0.914833952605496,1
10,0.24917301876360878,0.3548331974100587,0.9052627027371636,0.1310484996705641,0.914833952605496,2
11,0.24619561528020045,0.3506865283086081,0.9096394370024583,0.12155627770891264,0.914833952605496,3
12,0.235045747283627,0.34262784472323593,0.9113427216914328,0.12392374953934804,0.914833952605496,4
13,0.22761034430278576,0.35381089577412445,0.90594237489637,0.1263582252895128,0.914833952605496,5
14,0.22144181028227597,0.35990876993008214,0.9099249641388107,0.12929523043764724,0.914833952605496,6
15,0.20983051792444551,0.35123464643388086,0.9090585230938726,0.12874803175985794,0.914833952605496,7
16,0.20540991122560465,0.3797397687965262,0.9081737021742373,0.1254871743330318,0.914833952605496,8
17,0.20119588362491306,0.37057092854353285,0.9041603371161394,0.13006577551453424,0.914833952605496,9
18,0.20295634127824622,0.38879453470084074,0.9062577989637961,0.12659273900856538,0.914833952605496,10
